date_time,source,channel,level,location,user,MID,system,SID,operation,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,comment
6/9/2020 18:39,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,498803,NP-1-Stim,-999999,Action,NaN,NaN,NaN,23.03,18.9,0.85,0.68,0.61,NaN
6/10/2020 11:58,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.5,0.85,0.66,0.82,NaN
6/10/2020 19:28,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,498803,NP-1-Stim,-999999,Action,NaN,NaN,NaN,23.03,19.5,0.85,0.35,0.65,NaN
6/11/2020 16:14,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,498756,NP-0-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.3,0.85,0.86,0.78,NaN
6/15/2020 17:38,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.1,0.85,1.06,0.86,NaN
6/16/2020 17:53,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,20,0.85,1.16,0.59,NaN
6/17/2020 19:45,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,21.3,0.85,0.3,0.73,NaN
6/18/2020 14:38,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509652,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.23,24.5,0.85,0.87,0.13,NaN
6/18/2020 19:36,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,498756,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.9,20.3,0.85,0.86,0.39,NaN
6/19/2020 14:53,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509652,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.23,22.9,0.85,0.94,0.06,NaN
6/19/2020 16:44,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,506798,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.87,25.8,0.85,0.48,0.52,NaN
6/22/2020 14:16,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23.6,0.85,1.25,0.78,NaN
6/22/2020 17:13,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509652,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.23,22.1,0.85,0.77,0.23,NaN
6/22/2020 20:56,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,506798,NP-0-Stim,-999999,Action,NaN,NaN,NaN,27.87,24.6,0.85,0.36,0.64,NaN
6/23/2020 16:23,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23.9,0.85,0.95,0.6,NaN
6/23/2020 16:41,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,506798,NP-0-Stim,-999999,Action,NaN,NaN,NaN,27.87,24.3,0.85,0.39,0.61,NaN
6/23/2020 17:51,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509652,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.23,21.8,0.85,0.54,0.46,NaN
6/24/2020 13:32,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,506798,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.87,24.2,0.85,0.33,0.67,NaN
6/24/2020 15:41,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23.6,0.85,1.25,0.56,NaN
6/24/2020 17:33,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509652,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.23,21.9,0.85,0.39,0.61,NaN
